ORTHOMCL16792	>KFM63250_SMIMO
ORTHOMCL16792	>XP-042903866.1_PTEPI
ORTHOMCL9772	>Trichonephila-antipodiana-00006624-RA_TANTI
ORTHOMCL9772	>ISCW019634-PA_ISCAP
ORTHOMCL8446	>BGIBMGA007051-TA_BMORI
ORTHOMCL5342	>LHES006754-PA_LHESP
ORTHOMCL5342	>KFM77680_SMIMO
ORTHOMCL5342	>tetur07g06690.1_TURTI
ORTHOMCL5342	>SSCA000475-PA_SSCAB
ORTHOMCL5342	>LREC010829-PA_LRECL
ORTHOMCL6014	>ISCW006978-PA_ISCAP
ORTHOMCL5643	>XP-022243755.1_LPOLY
ORTHOMCL4455	>KFM59338_SMIMO
ORTHOMCL4455	>SSCA004781-PA_SSCAB
ORTHOMCL1829	>Cr-031303-T1_CROTU
ORTHOMCL1829	>LREC013747-PA_LRECL
ORTHOMCL1829	>SSCA005420-PA_SSCAB
ORTHOMCL1829	>SSCA000085-PA_SSCAB
ORTHOMCL6335	>KFM68426_SMIMO
ORTHOMCL16253	>LREC007695-PA_LRECL
ORTHOMCL5198	>ISCW014453-PA_ISCAP
ORTHOMCL5198	>SSCA000870-PA_SSCAB
ORTHOMCL10689	>XP-023234730.1_CSCUL
ORTHOMCL10689	>LREC012703-PA_LRECL
ORTHOMCL803	>LREC020161-PA_LRECL
ORTHOMCL803	>LREC003779-PA_LRECL
ORTHOMCL803	>ISCW004309-PA_ISCAP
ORTHOMCL12348	>KFM76641_SMIMO
ORTHOMCL3667	>XP-013792605.1_LPOLY
ORTHOMCL3667	>PRD30012.1_NCLAV
ORTHOMCL13935	>BGIBMGA009943-TA_BMORI
ORTHOMCL13935	>FBpp0301613_DMELA
ORTHOMCL3161	>BGIBMGA006420-TA_BMORI
ORTHOMCL3161	>BGIBMGA006422-TA_BMORI
ORTHOMCL3161	>KFM79059_SMIMO
ORTHOMCL3161	>LHES008184-PA_LHESP
ORTHOMCL3161	>LREC015050-PA_LRECL
ORTHOMCL3161	>BGIBMGA006421-TA_BMORI
ORTHOMCL2378	>KFM83477_SMIMO
ORTHOMCL2378	>LHES014436-PA_LHESP
ORTHOMCL2378	>XP-013791922.1_LPOLY
ORTHOMCL2378	>XP-013792778.1_LPOLY
ORTHOMCL2378	>SSCA010002-PA_SSCAB
ORTHOMCL2378	>LREC013588-PA_LRECL
ORTHOMCL9567	>LREC019908-PA_LRECL
ORTHOMCL9567	>KFM66759_SMIMO
ORTHOMCL9567	>ISCW014772-PA_ISCAP
ORTHOMCL5574	>LHES013878-PA_LHESP
ORTHOMCL15722	>LREC004341-PA_LRECL
ORTHOMCL10349	>PRD28285.1_NCLAV
ORTHOMCL10349	>KFM65221_SMIMO
ORTHOMCL4751	>Cr-024823-T1_CROTU
ORTHOMCL4751	>LHES010888-PA_LHESP
ORTHOMCL4751	>KFM67963_SMIMO
ORTHOMCL4751	>SSCA000819-PA_SSCAB
ORTHOMCL1373	>LHES014208-PA_LHESP
ORTHOMCL1373	>LREC009606-PA_LRECL
ORTHOMCL5790	>LREC010592-PA_LRECL
ORTHOMCL9234	>BGIBMGA005946-TA_BMORI
ORTHOMCL9234	>Cr-012108-T1_CROTU
ORTHOMCL9234	>FBpp0301625_DMELA
ORTHOMCL6179	>LHES011997-PA_LHESP
ORTHOMCL6179	>XP-042911482.1_PTEPI
ORTHOMCL6179	>Trichonephila-antipodiana-00003268-RA_TANTI
ORTHOMCL6179	>KFM62696_SMIMO
ORTHOMCL6179	>ISCW016119-PA_ISCAP
ORTHOMCL1959	>KFM75420_SMIMO
ORTHOMCL1959	>PRD23619.1_NCLAV
ORTHOMCL5648	>Cr-004426-T1_CROTU
ORTHOMCL5648	>XP-042913434.1_PTEPI
ORTHOMCL5648	>ISCW019247-PA_ISCAP
ORTHOMCL5648	>ISCW017711-PA_ISCAP
ORTHOMCL5698	>Cr-001553-T1_CROTU
ORTHOMCL5698	>XP-022236197.1_LPOLY
ORTHOMCL5698	>XP-023213911.1_CSCUL
ORTHOMCL5698	>LHES008289-PA_LHESP
ORTHOMCL2325	>XP-022248043.1_LPOLY
ORTHOMCL2325	>LHES002769-PA_LHESP
ORTHOMCL2325	>KFM66115_SMIMO
ORTHOMCL6842	>ISCW018034-PA_ISCAP
ORTHOMCL6842	>LREC007107-PA_LRECL
ORTHOMCL3252	>XP-013794240.1_LPOLY
ORTHOMCL3252	>XP-023228622.1_CSCUL
ORTHOMCL3252	>LREC004887-PA_LRECL
ORTHOMCL3252	>PRD23039.1_NCLAV
ORTHOMCL3252	>XP-023228621.1_CSCUL
ORTHOMCL3252	>ISCW002593-PA_ISCAP
ORTHOMCL10180	>BGIBMGA001300-TA_BMORI
ORTHOMCL10180	>Cr-050240-T1_CROTU
ORTHOMCL10180	>XP-023216800.1_CSCUL
ORTHOMCL235	>LHES005455-PA_LHESP
ORTHOMCL235	>XP-023231526.1_CSCUL
ORTHOMCL235	>PRD23598.1_NCLAV
ORTHOMCL235	>LREC012699-PA_LRECL
ORTHOMCL235	>SSCA009779-PA_SSCAB
ORTHOMCL235	>LREC004847-PA_LRECL
ORTHOMCL5996	>PRD25550.1_NCLAV
ORTHOMCL12935	>LHES001574-PA_LHESP
ORTHOMCL12935	>XP-013793575.1_LPOLY
ORTHOMCL14305	>XP-013791568.1_LPOLY
ORTHOMCL2481	>LREC016901-PA_LRECL
ORTHOMCL5313	>PRD24757.1_NCLAV
ORTHOMCL5313	>KFM82381_SMIMO
ORTHOMCL5313	>KFM82380_SMIMO
ORTHOMCL5313	>ISCW017825-PA_ISCAP
ORTHOMCL5313	>LHES012442-PA_LHESP
ORTHOMCL5313	>KFM82379_SMIMO
ORTHOMCL3826	>LHES016819-PA_LHESP
ORTHOMCL1707	>XP-013792668.1_LPOLY
ORTHOMCL1707	>PRD34061.1_NCLAV
ORTHOMCL1707	>KFM80253_SMIMO
ORTHOMCL1707	>tetur03g00750.1_TURTI
ORTHOMCL3982	>BGIBMGA005492-TA_BMORI
ORTHOMCL3982	>SSCA008463-PA_SSCAB
ORTHOMCL3982	>LHES015473-PA_LHESP
ORTHOMCL15083	>XP-015906421.1_PTEPI
